Grupo T1 T2 T3 T4 T5
1 1.27 1.79 5.65 9.32 10.64
1 0.01 2.17 6.08 9.45 10.85
1 0.29 2.52 4.68 8.24 11.83
1 1.68 3.71 4.14 8.35 11.98
1 0.27 4.75 4.76 9.6 12.26
1 0.32 2.16 4.39 7.6 11.72
1 0.17 2.18 3.41 6.7 12.49
1 1.54 3.05 6.12 10.1 12.12
1 0.74 3.6 5.62 9.97 12.56
1 3.35 3.99 6.69 10.72 14.02
2 3.36 5.98 7.39 12.5 15.96
2 5.95 5.23 8.5 11.7 16.05
2 4.09 5.85 9.74 12.9 15.21
2 1.72 6.21 9.28 13.87 15.24
2 4.32 5.16 8.48 12.05 15
2 4.85 5.4 8.9 11.41 15.5
2 1.91 6.72 7.79 12.09 15
2 5.73 6.23 7.86 11.52 14.94
2 6.47 5.84 8.4 12.64 15.04
2 4.62 5.32 8.65 11.05 13.58
