"Id","region","mortality_rate","O3","PM10","PM25","NO2","T2M"
16817,"North West",1.397,47.809,4.84,2.891,8.419,276.564
9327,"South East",1.06,41.795,9.731,2.938,7.947,290.369
12419,"South East",1.585,48.072,10.158,5.159,10.894,271.486
10255,"North West",1.667,23.706,16.311,10.228,26.041,276.774
12792,"South West",1.901,48.679,14.016,3.296,7.777,279.542
9528,"South West",1.473,45.544,9.371,3.841,7.061,274.75
11659,"West Midlands",1.653,46.635,13.287,3.88,8.528,277.484
16056,"South East",1.606,48.732,14.505,7.323,9.827,281.256
13698,"North West",1.134,50.542,8.518,4.868,5.241,287.648
14163,"Yorkshire and The Humber",1.229,36.527,8.812,3.287,10.715,279.765
8411,"East of England",1.634,14.958,17.719,7.244,17.104,279.603
9983,"North East",1.469,78.906,9.262,3.871,2.175,280.992
15499,"London",0.707,45.096,8.443,4.613,11.056,286.601
7512,"Yorkshire and The Humber",1.225,37.014,10.94,4.401,8.958,287.24
11753,"East of England",1.429,56.285,16.323,9.909,9.146,279.269
7648,"Yorkshire and The Humber",1.646,29.559,10.314,6.119,14.221,276.756
6738,"North East",1.243,47.743,6.232,2.366,3.548,285.542
9328,"South East",0.989,41.972,10.58,3.027,5.32,290.092
15680,"London",1.097,36.345,7.134,5.868,22.452,275.427
15818,"South East",1.075,74.656,13.278,7.969,8.477,283.735
16615,"North East",1.038,63.4,8.039,5.622,2.991,287.128
14422,"East Midlands",1.168,49.861,7.873,3.704,6.413,288.67
8638,"East of England",1.078,45.364,13.671,4.523,8.014,293.337
11881,"East of England",0.982,85.357,24.486,12.851,14.766,294.29
15641,"London",0.695,37.966,30.57,19.387,18.394,284.099
17566,"East Midlands",1.335,15.737,28.815,23.191,30.746,275.259
17893,"West Midlands",1.453,63.083,7.107,3.445,3.278,278.89
8113,"West Midlands",1.375,56.608,7.538,2.743,6.373,278.972
18359,"East of England",1.354,51.75,16.397,13.324,12.107,279.685
14655,"West Midlands",1.016,60.759,15.197,5.73,5.852,281.468
13730,"North West",1.077,43.526,8.118,3.613,3.653,288.782
8031,"West Midlands",2.279,7.809,15.65,6.523,22.826,270.515
14469,"East Midlands",1.3,42.184,11.863,7.693,9.309,289.321
15065,"East of England",1.126,57.394,20.849,13.219,15.453,283.316
16299,"South West",0.868,51.625,9.306,3.565,2.865,287.022
13679,"North West",1.205,59.116,5.995,3.192,3.501,284.864
16461,"North East",1.23,44.968,10.397,4.847,5.923,274.305
11238,"East Midlands",1.176,26.646,15.169,9.904,21.476,283.121
16710,"North East",1.46,33.842,21.778,17.85,18.512,282.853
15765,"South East",1.341,61.043,17.759,5.936,8.792,280.599
11717,"East of England",1.515,24.034,19.744,10.373,18.85,277.514
10469,"North West",1.439,66.9,17.491,11.747,10.83,288.538
16319,"South West",1.17,48.434,14.768,8.121,7.17,287.855
14766,"West Midlands",1.105,48.155,9.968,5.774,5.169,288.242
10519,"North West",1.581,45.969,11.415,3.151,10.047,283.691
12803,"South West",1.654,55.206,13.771,3.502,6.191,278.843
13401,"North East",1.155,41.895,4.854,3.055,3.842,283.487
13846,"North West",1.417,58.447,7.864,2.425,2.87,277.212
9616,"South West",1.473,61.768,8.378,1.964,2.969,285.019
11926,"East of England",1.119,50.368,14.254,5.646,7.396,287.61
15279,"East of England",1.143,13.068,25.464,21.004,27.37,284.477
10471,"North West",1.325,34.673,15.829,10.504,20.271,286.746
14869,"West Midlands",1.195,45.917,10.306,4.991,8.975,287.745
15080,"East of England",1.023,82.184,25.957,19.601,5.143,286.17
12338,"London",0.881,25.337,13.114,8.021,30.069,277.893
17320,"Yorkshire and The Humber",1.016,64.602,10.172,6.53,5.288,284.027
14130,"Yorkshire and The Humber",1.248,36.774,7.425,3.905,7.112,284.343
7676,"East Midlands",1.901,40.095,23.074,8.313,9.458,278.76
14472,"East Midlands",0.882,47.573,7.383,4.694,8.132,288.34
14166,"Yorkshire and The Humber",1.248,48.346,20.179,12.408,10.841,286.314
14909,"West Midlands",1.016,31.088,11.082,7.235,14.039,282.373
18279,"East of England",1.287,23.745,10.421,7.58,25.69,277.523
7488,"Yorkshire and The Humber",1.168,46.411,8.051,3.389,5.424,287.467
9978,"North East",1.392,73.446,9.69,2.39,3.015,278.95
16017,"South East",1.271,40.986,17.574,7.917,11.193,284.77
14617,"West Midlands",1.409,24.564,17.564,10.52,18.887,277.403
14202,"Yorkshire and The Humber",1.172,34.073,15.311,6.179,14,279.745
15943,"South East",1.029,50.479,10.187,3.319,3.662,288.15
10762,"Yorkshire and The Humber",1.313,70.358,20.259,14.345,9.216,291.678
13901,"Yorkshire and The Humber",1.399,27.453,23.585,14.47,24.109,272.958
11002,"East Midlands",1.553,32.547,14.104,6.672,20.363,273.023
9016,"London",0.604,41.52,15.06,5.282,16.74,286.737
8469,"East of England",1.061,51.136,14.981,4.48,12.718,281.218
17073,"North West",1.186,28.331,13.964,11.628,18.64,281.753
16313,"South West",0.887,48,12.418,5.744,3.354,289.807
8104,"West Midlands",1.049,55.219,9.83,3.938,9.572,280.392
10843,"Yorkshire and The Humber",1.199,53.484,10.555,3.281,5.58,285.235
15158,"East of England",0.853,62.57,13.208,8.083,4.12,289.28
14302,"East Midlands",1.256,33.591,27.091,19.001,22.164,276.182
11439,"West Midlands",1.222,60.808,18.812,11.469,10.567,281.412
8648,"East of England",0.991,48.9,7.326,2.646,5.31,288.164
10539,"North West",1.282,22.936,14.503,7.875,21.426,276.64
14453,"East Midlands",0.926,35.407,10.317,6.852,10.53,288.34
12372,"London",0.67,11.93,18.447,9.934,27.435,277.819
15284,"East of England",1.365,11.919,30.297,25.169,31.848,280.914
15749,"South East",1.156,33.798,15.502,10.332,13.318,281.122
13113,"South West",1.387,38.356,7.508,2.319,10.493,277.995
7723,"East Midlands",1.118,42.307,10.274,3.663,14.489,282.305
12991,"South West",1.197,54.563,12.249,2.833,3.843,288.859
9378,"South East",1.178,42.293,11.526,4.393,12.795,288.329
8943,"London",0.818,76.579,30.881,13.616,25.003,294.198
14711,"West Midlands",1.034,75.536,55.244,38.408,19.134,289.151
10821,"Yorkshire and The Humber",1.047,43.066,7.529,2.002,5.227,285.939
11901,"East of England",0.947,53.715,12.934,8.066,8.663,292.079
15184,"East of England",0.751,42.465,5.654,3.143,5.086,287.899
11643,"West Midlands",1.222,18.91,14.549,8.224,22.319,273.838
7534,"Yorkshire and The Humber",1.206,43.458,9.515,4.075,7.9,288.119
7810,"East Midlands",1.006,57.482,15.308,8.663,10.195,289.398
15576,"London",0.731,53.575,20.012,14.21,18.854,291.359
14718,"West Midlands",1.07,69.854,19.44,12.407,10.089,283.692
10947,"Yorkshire and The Humber",1.846,13.417,16.691,7.617,28.48,274.963
10347,"North West",1.382,73.257,11.446,5.81,5.95,281.064
10890,"Yorkshire and The Humber",1.313,29.36,18.406,8.964,16.685,280.975
9887,"North East",1.353,52.577,5.806,2.711,4.86,273.733
11099,"East Midlands",1.132,44.044,12.877,7.199,12.108,284.226
9010,"London",0.781,28.649,15.205,5.407,28.762,291.272
17711,"East Midlands",0.985,44.279,9.805,8.315,13.328,289.067
10620,"Yorkshire and The Humber",1.713,15.566,19.587,12.779,32.827,275.344
14670,"West Midlands",1.284,68.297,15.307,4.909,4.902,279.605
14103,"Yorkshire and The Humber",1.324,52.863,8.778,5.464,5.875,289.193
11751,"East of England",1.395,45.432,19.682,9.304,13.365,277.663
10598,"Yorkshire and The Humber",2.112,6.881,37.018,17.857,34.116,273.088
17200,"Yorkshire and The Humber",1.448,29.499,21.947,17.823,16.645,275.278
17799,"East Midlands",0.963,48.352,8.458,4.1,8.225,285.123
8831,"London",0.919,32.254,13.411,3.842,26.313,283.364
16489,"North East",1.691,58.779,5.628,3.578,6.565,276.747
10338,"North West",1.197,71.654,21.71,11.016,8.474,286.588
18143,"West Midlands",1.223,51.549,9.932,4.79,4.705,288.849
14801,"West Midlands",0.981,42.595,13.037,5.229,6.066,287.118
13823,"North West",1.488,30.193,29.283,24.711,17.814,280.653
14189,"Yorkshire and The Humber",1.059,25.135,31.124,23.262,18.769,280.464
14197,"Yorkshire and The Humber",1.135,34.672,14.884,6.481,13.347,281.843
